gene_set,gene_symbol,pathway_level,regulatory_role,cell_type,pmids,reference_gene_set
IMMPRINT_APOPTOSIS_INTRINSIC,APAF1,2,none,pan,9267021,REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS
IMMPRINT_APOPTOSIS_INTRINSIC,CYCS,2,none,pan,8689682,REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS
IMMPRINT_APOPTOSIS_INTRINSIC,DIABLO,2,none,pan,10929711,REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS
IMMPRINT_APOPTOSIS_INTRINSIC,CASP9,2,none,pan,9390557,REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS
IMMPRINT_APOPTOSIS_INTRINSIC,CASP3,3,none,pan,7596430,REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS
IMMPRINT_APOPTOSIS_INTRINSIC,CASP7,3,none,pan,8521391,REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS
IMMPRINT_APOPTOSIS_INTRINSIC,XIAP,2,inhibitory,pan,9230442,REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS
IMMPRINT_APOPTOSIS_INTRINSIC,TP53,1,none,pan,7834749,REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS
IMMPRINT_BCR_SIGNALLING,CD79A,1,none,B cell,2463161,REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR
IMMPRINT_BCR_SIGNALLING,CD79B,1,none,B cell,3137575,REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR
IMMPRINT_BCR_SIGNALLING,LYN,2,none,B cell,1702903,REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR
IMMPRINT_BCR_SIGNALLING,SYK,2,none,B cell,33782605,REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR
IMMPRINT_BCR_SIGNALLING,BTK,2,none,B cell,8425221,REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR
IMMPRINT_BCR_SIGNALLING,BLNK,2,none,B cell,9697839,REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR
