gene_set,cell_type,gene_symbol,pathway_level,pmids,reference_gene_set
IMMPRINT_APOPTOSIS_INTRINSIC,pan,DIABLO,2,10929711,REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS
IMMPRINT_APOPTOSIS_INTRINSIC,pan,CASP9,2,9390557,REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS
IMMPRINT_APOPTOSIS_INTRINSIC,pan,CASP3,3,7596430,REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS
IMMPRINT_APOPTOSIS_INTRINSIC,pan,CASP7,3,8521391,REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS
IMMPRINT_APOPTOSIS_INTRINSIC,pan,XIAP,2,9230442,REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS
IMMPRINT_APOPTOSIS_INTRINSIC,pan,TP53,1,7834749,REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS
IMMPRINT_BCR_SIGNALLING,B cell,CD79A,1,2463161,REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR
IMMPRINT_BCR_SIGNALLING,B cell,CD79B,1,3137575,REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR
IMMPRINT_BCR_SIGNALLING,B cell,LYN,2,1702903,REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR
IMMPRINT_BCR_SIGNALLING,B cell,SYK,2,1569106,REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR
IMMPRINT_BCR_SIGNALLING,B cell,BTK,2,8425221,REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR
IMMPRINT_BCR_SIGNALLING,B cell,BLNK,2,9697839,REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR
IMMPRINT_BCR_SIGNALLING,B cell,PLCG2,2,10933392,REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR
IMMPRINT_BCR_SIGNALLING,B cell,PIK3CD,2,12130661,REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR
IMMPRINT_BCR_SIGNALLING,B cell,PIK3R1,2,9888855,REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR
IMMPRINT_BCR_SIGNALLING,B cell,AKT1,2,10438924;10521450,
IMMPRINT_BCR_SIGNALLING,B cell,CARD11,2,11278692,REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR
IMMPRINT_BCR_SIGNALLING,B cell,BCL10,2,25365219,REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR
IMMPRINT_BCR_SIGNALLING,B cell,MALT1,2,23727036,REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR
IMMPRINT_BCR_SIGNALLING,B cell,NFATC1,2,8202141,REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR
